墮戈,长沙,漫威的电影确实不错不错不错不错哦！！！,4.5,2018-12-03 18:13:05
caiyongshan67,泰和县,还行，外国的科幻片比国内好看点,4.0,2018-12-03 18:11:50
饿了给你种草莓,玉溪,美版寄生兽，另外补充一点原著，毒液在它的星球并不像它说的是个失败者，反而是星球的王。,4.0,2018-12-03 18:11:29
ncv599228198,宁波,三观不合，看了恶心,1.0,2018-12-03 18:10:36
阿海,上海,情节简单，毫无新意！,3.0,2018-12-03 18:10:23
tZv136351022,合肥,还不错，好看，,5.0,2018-12-03 18:09:36
以柔克刚,鹰潭,美国大片哦还可以！,4.0,2018-12-03 18:07:27
回眸一笑吓屎你,深圳,马马虎虎还可以吧,5.0,2018-12-03 18:07:15
RPD249002788,洛阳,题材很新颖   值得一看,5.0,2018-12-03 18:06:11
申维维,大连,很不错的一部影片,5.0,2018-12-03 18:04:55
Xaba,乌鲁木齐,好看……喜欢……不错,5.0,2018-12-03 18:04:46
cpc3915690715692,西安,太一般了紫薯布丁,3.0,2018-12-03 18:03:57
zeh684851991,东营,很好看，毒液很可爱,4.5,2018-12-03 18:03:33
ypF831413191,深圳,美国大片的套路，没特别新意，总体还可以。,3.5,2018-12-03 18:03:12
人生如戏全靠演技,淮安,不愧是漫威的作品，太爽了，有点意犹未尽的感觉，希望明年底能看到二，同时期待着复联4早日看到,5.0,2018-12-03 18:02:46
UiB715028172,成都,可以，很好看,4.5,2018-12-03 18:02:26
时倾iz,南昌,超级好看，可以推荐,5.0,2018-12-03 18:02:26
ikl15003118018,石家庄,还有续集1.2.3,5.0,2018-12-03 18:02:25
你若在清风自来,郑州,毒液很可爱，,5.0,2018-12-03 18:02:14
往昔呀,陕州区,特别好看，无敌棒，毒液超帅,5.0,2018-12-03 18:01:36
CTd919344985,广州,不错，很好看,5.0,2018-12-03 18:01:24
Arthie,昆明,"毒液超可爱！
“不许叫我寄生虫！道歉！”
233333",5.0,2018-12-03 18:01:01
TkU504717535,长丰县,奇幻，特效不错，一贯的个人英雄主义,4.5,2018-12-03 18:00:56
可爱众,唐山,还行 就是不太长,4.0,2018-12-03 18:00:10
Flute,佛山,不错不错不错,5.0,2018-12-03 17:59:54
cherry321_xia,嘉兴,还好，习惯好，总比无法入眼的影片爽！,5.0,2018-12-03 17:59:24
想不到好名字,郑州,漫威忠实粉丝，觉得特效挺好的,4.5,2018-12-03 17:58:27
gGx852958306,上海,不知道是不是删减的原因，逻辑有一点跳，人物关系和情感变化线基础不牢…但是毒液很可爱 视效很棒 姆爷主题曲一万个赞！,4.0,2018-12-03 17:58:26
大野木,綦江,牵强附会，要讲的故事没铺开就着急忙慌的结束了，高潮错乱，很模式化…食之无味弃之可惜,3.0,2018-12-03 17:58:09
想你的夜,上海,了么，了宝贝你在不在家的啊，,5.0,2018-12-03 17:57:56
GCa994486492,永年,"超级好看帅气
",5.0,2018-12-03 17:57:33
小夢藜,海安,电影特别精彩,5.0,2018-12-03 17:57:03
eBf643822772,武汉,非常棒   真是太好看了,5.0,2018-12-03 17:56:16
EGFASCHBD,商丘,老头子，走好,5.0,2018-12-03 17:56:10
重聚雨后,宜昌,还不错，很好看！,4.0,2018-12-03 17:55:21
天下石仓,天津,不错，环境较好，,5.0,2018-12-03 17:54:54
nono,北京,不错，特技还是非常棒的!故事有些短，紧张却很幽默。,4.5,2018-12-03 17:54:43
NVe874511169,成都,电影情节还是比较好的，就是有一点点血腥,4.0,2018-12-03 17:54:15
Une135644616,上海,挺好的  美式幽默,5.0,2018-12-03 17:54:02
agS441195507,滁州,不错，，，，,5.0,2018-12-03 17:52:03
